id_estudiante,edad,genero,ciudad_origen,departamento_origen,estrato,puntaje_saber11,preferencia_area,universidad_codigo,universidad_nombre,universidad_departamento,universidad_tipo,universidad_acreditada,ranking_nacional,modalidad_programa,convenio_internacional,beca_disponible,eligio_universidad
E001,17,F,Bucaramanga,Valle del Cauca,6,257.5,Salud,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,Sí,Sí,No
E002,17,M,Medellín,Atlántico,6,287.4,Ingeniería,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,Sí,No,Sí
E003,22,F,Bucaramanga,Valle del Cauca,2,289.7,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,No,Sí,No
E004,22,M,Barranquilla,Atlántico,4,275.9,Ciencias Sociales,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,Sí,No,Sí
E005,17,F,Medellín,Valle del Cauca,1,295.2,Administración,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,No,No
E006,17,F,Cali,Valle del Cauca,1,312.1,Administración,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Mixta,Sí,Sí,Sí
E007,19,M,Medellín,Valle del Cauca,5,356.6,Salud,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Presencial,Sí,Sí,No
E008,17,F,Cali,Santander,3,305.2,Ingeniería,U005,Universidad Autónoma,Atlántico,Privada,No,30,Presencial,No,Sí,Sí
E009,25,M,Bogotá,Atlántico,2,307.7,Salud,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,No,Sí,No
E010,17,F,Barranquilla,Cundinamarca,5,297.8,Artes,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Mixta,Sí,Sí,Sí
E011,18,M,Medellín,Santander,4,242.4,Artes,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Virtual,Sí,Sí,No
E012,24,F,Bogotá,Cundinamarca,2,299.2,Artes,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Virtual,Sí,No,No
E013,23,F,Bogotá,Antioquia,4,301.8,Ciencias Sociales,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Presencial,No,No,No
E014,18,M,Bogotá,Cundinamarca,6,373.9,Salud,U003,Universidad del Valle,Valle del Cauca,Pública,Sí,10,Virtual,No,No,No
E015,25,F,Bogotá,Atlántico,6,294.2,Salud,U001,Universidad Nacional,Cundinamarca,Pública,Sí,1,Mixta,No,No,Sí
E016,22,M,Bucaramanga,Santander,6,309.0,Administración,U004,Universidad de Antioquia,Antioquia,Pública,Sí,5,Presencial,Sí,No,No
E017,25,F,Bogotá,Antioquia,6,299.0,Ingeniería,U002,Universidad de los Andes,Cundinamarca,Privada,Sí,2,Virtual,Sí,Sí,No
